@RELATION 'my_relation: -C 5'

@ATTRIBUTE A {0,1}
@ATTRIBUTE C {0,1}
@ATTRIBUTE B {0,1}
@ATTRIBUTE E {0,1}
@ATTRIBUTE D {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric

@DATA
0,1,0,0,0,1.259217448356278,4.874891006428828,5.766455904948512,7.765988386488948,5.6074864246308636,4.658535993613882,4.813512143504947,3.7756387343063795,9.118532695782907
0,0,1,1,0,1.7719731847031963,1.6676897471079593,2.66218439107541,1.3701411170436857,1.2208828438870962,3.7778533592761216,4.311087722540076,0.45331423765042156,4.910639078686399
0,1,0,0,0,0.8856194783860327,3.9766989252871126,3.4714294870850955,7.895487541062692,2.492781702100917,6.62574612498087,5.5083886577937555,1.9824421418432672,3.701739403537475
1,0,1,0,1,3.4971069394061067,-0.16469553641000226,-4.341263138336279,-0.6047231622640237,2.552398390306425,-1.043789380233967,-1.892700373903702,-1.2426983759157273,-2.462946273263528
0,1,0,0,0,1.4710434551521736,2.5614509795551186,3.8271149475003643,3.241843147670269,4.315529507495585,4.375661360422406,3.973497237748274,5.215433281527353,4.8407751039242894
0,0,1,1,0,2.391463179390717,0.5810710270997466,0.4363796628393668,3.0155393449911694,1.0747566736565846,2.1157307627385817,6.380753043552273,0.2905660239133441,0.2572599688384323
0,0,1,1,0,4.183145224876071,1.2007899896687402,1.3897284146552447,2.854671241984361,0.5705237843655873,3.468714399661826,4.273890588000293,1.198849179424716,5.328761519115054
0,1,0,0,0,2.389228547445425,4.101765304205889,4.372690143028177,5.7776636285298855,4.2637840117770915,4.237095652491222,3.371088007557197,6.114648562385355,-0.7822867879468323
0,1,0,0,0,3.271653019265139,1.6113044974120294,5.573717709379931,5.73265939028734,5.228806604927281,4.529192244379023,3.9003737590516274,1.133924536174709,3.5231931945941715
0,1,0,0,0,4.463103657753409,0.2164450017024926,7.001995487561045,0.340079893028137,4.1130789134428305,5.745084353984427,1.8106021551188656,0.46111802993485007,5.1684447611769215
