@RELATION 'my_relation: -C 17'

@ATTRIBUTE 11 {0,1}
@ATTRIBUTE 10 {0,1}
@ATTRIBUTE 13 {0,1}
@ATTRIBUTE 12 {0,1}
@ATTRIBUTE 15 {0,1}
@ATTRIBUTE 14 {0,1}
@ATTRIBUTE 17 {0,1}
@ATTRIBUTE 16 {0,1}
@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 3 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 5 {0,1}
@ATTRIBUTE 4 {0,1}
@ATTRIBUTE 7 {0,1}
@ATTRIBUTE 6 {0,1}
@ATTRIBUTE 9 {0,1}
@ATTRIBUTE 8 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric

@DATA
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,81.34870979399945,89.72603067463939,107.42883707999682,66.5194786533481,103.52993811422523,97.73342639600727,104.11841005687454,89.2880983982689,92.80819942663818
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,13.412735812722092,21.11347373592136,-14.68662043817725,-4.450139526858461,5.062959857415661,46.57382351499572,0.1080777572296654,-3.9594688317480085,35.5200470065415
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,98.75786468429895,119.171148116139,128.89465856449175,88.93186824995917,109.92154423695938,98.42735662032895,81.05140868784576,103.53494287967915,96.12110998995627
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,90.31730663092597,95.3556859722562,105.24164598078626,91.82365264986437,99.31913989537624,87.64343084418512,100.18042241257453,105.04242006317503,106.01140464770168
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,114.67272993605944,104.15631236544507,108.10382903430116,114.1698068224742,91.64522708571016,102.52341567820827,124.89968991383289,96.90065765210676,91.75029592734262
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112.55069692291221,97.9867930719006,92.18211548436928,98.79059785750026,107.44271698371486,94.2281167428101,111.73055455193274,116.53152568283,108.14644941385342
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,105.40641285474297,112.6685474102619,110.62659291655946,89.70023712077257,89.03540440189434,110.76502459396347,103.85282110265587,97.71575924385112,104.27322512605838
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99.44148137920266,98.85545300853708,107.1138430920694,128.2244332823561,100.07660114703918,95.79298872097809,97.95222077076774,86.07766144554412,97.86554076601305
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,88.23917911489505,89.84632937164277,92.19186118015854,107.1204083628958,96.28362656963867,116.57607428022682,99.35902545869504,86.01612107480169,93.39977159834137
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,112.34519485515811,83.52641421422155,86.36833347863748,118.7383192344566,95.87667570498661,99.92809244448037,73.85310803084043,107.92706974806474,92.9471875073908
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,96.92677448472112,94.32175284585354,95.86406988103317,94.75899591483393,126.04822040836238,92.44714496180372,89.62154418271615,72.81170857611426,83.47302708715024
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35.26673945806293,43.48257947916829,42.67673748729821,87.42896355266603,-33.42741689950715,0.17370551004428592,16.91454176763675,37.69584290177665,35.18789609758257
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,79.68517920889899,98.94818123418288,91.75637880018056,92.67829620982941,114.11462985040819,70.96225278081634,100.1952490255896,84.34006472991857,90.5630217482531
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,121.03555508650513,158.98449912225777,-1.0523317159647831,103.34810549720606,92.67347900194754,44.90344714271488,59.021966042271934,96.59127128134853,105.36545429444536
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,99.65081245136267,79.50186457972788,89.75905710654635,90.73686268521244,110.01641976824563,79.93713979556856,81.24154853239648,88.36558615135479,107.48183078619148
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,106.97290197042526,105.38599681178034,97.11596129133771,102.37143333810666,97.74907793149431,98.6502288541046,101.18930526037417,119.61579618816106,111.87164079772319
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,158.97466351706524,29.007106602010204,-3.2104490680779207,30.481055420404182,123.36216457007926,21.602507122181237,10.625248778519513,55.85999976343163,-3.396324610601198
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,116.04450711042047,113.36242320356376,114.42385505221147,101.08619175000143,112.58056330360444,89.64249904703895,87.02753749093644,115.73578908925148,101.48421782027691
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,92.88656890465451,76.05402821765736,120.13037382859459,83.8761001519057,76.80969979345822,112.77574549513419,99.62274225020695,104.59206178324405,100.17759004021994
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,101.7716727820656,107.68563069747522,110.84558444355466,91.52057380885724,110.72056305709667,111.05008184350173,105.78962110317224,107.27068999666102,105.14449580201006
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,99.23586741530991,93.93646958896343,105.31273310469483,116.01846577343171,79.36389007682551,111.46249564842282,78.05260798790415,87.03883540439848,78.01605112737849
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,104.47482848495925,92.63455679696594,88.76408202734386,99.47058354242559,89.58568637244001,74.60578700264948,100.00132745554004,83.14030683486438,109.9419469781119
