@RELATION 'my_relation: -C 23'

@ATTRIBUTE 24 {0,1}
@ATTRIBUTE 25 {0,1}
@ATTRIBUTE 20 {0,1}
@ATTRIBUTE 21 {0,1}
@ATTRIBUTE 22 {0,1}
@ATTRIBUTE 23 {0,1}
@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 3 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 5 {0,1}
@ATTRIBUTE 4 {0,1}
@ATTRIBUTE 7 {0,1}
@ATTRIBUTE 6 {0,1}
@ATTRIBUTE 8 {0,1}
@ATTRIBUTE 11 {0,1}
@ATTRIBUTE 13 {0,1}
@ATTRIBUTE 12 {0,1}
@ATTRIBUTE 15 {0,1}
@ATTRIBUTE 14 {0,1}
@ATTRIBUTE 17 {0,1}
@ATTRIBUTE 16 {0,1}
@ATTRIBUTE 19 {0,1}
@ATTRIBUTE 18 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric
@ATTRIBUTE att10 numeric

@DATA
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,37.42008289713221,34.34561337639423,36.29382051713888,35.49675260831968,41.059363074248864,33.01885449834133,52.36162139364977,71.43826539037158,41.377728892320306,34.71437441528138
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17.515444285644477,7.091000306233579,4.561423760777185,0.39458303399401373,10.698090956705881,15.194263180856776,17.04618040203202,12.192671067879497,1.0183319624017688,14.274734852986146
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,29.741723438048552,39.69531010241298,39.852630233686675,44.09892451328889,30.66768398724004,41.381364475076985,52.36961914540827,34.31721330831063,37.95884095829013,38.678093217198445
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,15.03905942836982,14.813332950333162,9.547985014925443,7.45316521165235,17.30866864750563,17.85376677627165,19.517543806707234,9.704373259583875,0.5661193754250864,7.257078360047938
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,36.35906348003098,35.221096169837594,32.84832484225098,42.528089471976706,32.70723253737512,32.84736292667261,47.99310949164774,36.98272785952784,37.894694330338204,33.34113577391852
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,44.63221349162039,40.33147861741465,34.293666035962666,42.94947869417328,50.770462800337,34.48337976661354,47.30157012296734,41.7120564360081,38.4501315017993,40.41917104330937
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,105.86341718194508,91.75180172034632,103.87832934761127,77.40345406133687,101.23395903296792,104.0898300361395,80.47721168928881,88.9890767919622,90.17792747321363,92.26377535141432
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,29.741398243931695,50.6495735576525,33.55897896285601,39.378032476757305,45.34725266891623,34.41214349725881,33.510946543679815,30.877113794728835,40.29917580597531,36.53222366978403
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,41.930459523886285,39.582282289783315,53.89955762909081,42.322596302196516,38.92387921372257,30.37538095359977,17.965398559341864,28.684321997976827,44.10648694791436,54.56077822216819
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,39.07285815695694,33.73239862151737,63.81176545257123,33.56724857892342,33.646597254609155,32.04343124273783,36.65916337404738,34.304444883729545,33.76099798625274,49.97515691595183
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,25.81897668340145,40.41090953504557,34.20699388215854,31.266858041608813,33.83964687979098,42.72269129907668,31.22705524473347,39.66491012564359,45.12716821387681,43.48320691116259
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,34.30174637826279,42.168978409145225,27.050450242013888,51.45165680568916,43.97274914099224,51.517935211969075,49.304675265188834,35.445458047284404,35.83359553966491,35.44845614470826
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,75.10744481711023,101.80388699392563,104.71401060014941,88.55248282709728,88.20277613252942,103.04691615073742,108.82572413100013,103.60496632222609,82.94122837066989,94.96569441835796
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,94.7074590158531,85.37076862068946,81.00729989052076,83.97586279354714,86.7030738504813,93.49287576016191,81.79601802683413,82.75367835017066,81.89483784705507,81.16633118647303
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,32.65516080462206,39.40570811119354,51.07010926621629,40.22775692677763,37.57443077720751,32.95619850903383,32.83374324391179,32.44890054658605,39.56372755813856,32.39143925906761
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,48.47938656317238,31.07575209224994,44.48816597556419,35.99329109877563,31.940284942506395,37.5530586070246,36.418851881266015,33.50358368502943,48.92331108917904,38.5599043011103
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,102.21180384255024,89.67480785167477,82.00832322782692,80.20362615280523,81.15402199372618,84.07360119511394,87.24034923024769,85.44855566761058,92.9561800430553,85.29592833880925
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,32.472703736579135,38.64164522886374,48.236743456032016,39.58997673153263,32.0104378421382,42.33649598265371,35.19924448829997,25.22116267938102,52.69559788706923,42.736248548541035
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,39.076285664689266,46.18895073085957,32.5967270816435,37.285682154235786,36.791001382765145,35.49092856945131,38.82814834299115,35.163154498918814,35.72244680256742,40.81306462737409
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,47.01303755991954,49.99065431936584,46.98311703183907,52.63004623802763,51.65873841010773,51.54563077862166,53.370355198251104,42.438780431721376,53.37143517710096,42.45191785794714
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,36.657363816898716,50.28414705707444,39.963386654743,49.28351649777751,43.285439772483684,29.524439177316065,35.43661704968353,30.830003603629045,46.24557127103371,26.29757127530037
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,33.48839428328725,29.955405399013426,30.975204472621275,25.26347833719029,37.72872018259714,40.424520038904,32.7521776632304,50.738453894130885,34.13946217588844,35.330368335246824
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13.934570101016813,9.610257342587406,10.925102870503032,11.217175117051532,5.188718005455959,11.499667190604367,12.586016143629816,15.539088808015144,15.879144971970462,2.761161333792634
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,89.57154771953702,84.6768605099212,94.99943029035572,105.35014561552782,85.65737087973726,87.71767835676187,83.39807574025625,78.22914986236898,80.52542484365644,95.75000107292576
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,37.641861484340765,40.62150084152954,45.36682822903644,43.62917808488425,49.48466287196803,41.83180237604848,41.43239188205064,53.94611012432257,41.00361129820248,49.36908043263037
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8.77194064420032,6.515480884983274,14.522335627914659,11.76053895463645,5.515526427797987,16.181615846019476,11.03447386430419,6.014295272386522,9.49307951724478,7.3005595881190795
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.6711532280590955,10.464751759752735,7.543636920780343,10.19961486056526,6.273768387551443,10.200961431886096,10.074150317307753,17.55148503094741,5.531435978275606,5.981624763527117
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,53.883126310784874,43.06918781390162,38.338454110788796,45.69404438029623,45.74520010984719,43.14448019705776,40.35877102273687,46.4085345896984,36.67268153135007,37.86255473511932
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,90.4578013171976,74.1316963975606,116.70339973791765,86.36996376876027,86.97478144205864,92.63428682930612,108.44996680681643,80.22949499423231,84.49614223459344,76.38073354239089
