@RELATION 'my_relation: -C 7'

@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 3 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 5 {0,1}
@ATTRIBUTE 4 {0,1}
@ATTRIBUTE 7 {0,1}
@ATTRIBUTE 6 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric

@DATA
1,0,0,0,1,0,0,50.75855528207915,51.507620521796184,44.810807558083994,49.34932772192076,44.958114054858164
1,0,0,0,0,0,0,50.46443428896688,52.503646973459766,43.78072021214805,51.59853236805338,48.4391364077257
0,1,1,0,0,0,1,54.97594588640581,55.12585094084057,54.25684717488428,49.47411905033918,55.45353220848173
1,0,0,0,1,0,0,48.84279776643826,49.48319208701795,48.28688410126445,46.573560046474334,45.94223670192621
0,1,0,0,0,1,0,49.34239072757462,57.462833942961026,50.788168146174456,49.871129563037826,55.48161738231582
1,0,1,1,0,0,0,47.76142922496855,48.51147406791909,51.34374816897671,51.159354312986075,51.64754872806082
1,0,0,0,0,0,0,52.690780999756086,48.478960387905815,49.83937524310488,45.67710867361176,53.78398694897608
0,1,0,0,0,0,0,57.41974167360042,51.88906736663361,48.35237904361169,56.501004934560555,49.80722132643396
0,1,0,0,0,1,0,48.365762472832635,51.30521217320015,50.11670811157067,48.77049569724977,53.18271995193702
1,0,1,1,0,0,0,49.37976739943902,47.320187800988435,50.95339974418204,50.15985451298943,49.02375891941118
0,0,1,0,0,0,0,49.95048734703509,44.66904036344271,59.577412585546206,47.674303848316676,53.045002866141026
1,0,1,1,0,0,0,50.98507351968705,49.43612786171682,52.95919860301932,53.84977419443472,53.458376661520994
0,0,1,0,0,0,0,48.43521497640594,44.924837238301755,46.68703588545718,53.54516771205046,58.80377708746807
1,0,1,1,0,0,0,52.821762061788874,48.28289512581243,49.77515994913535,48.76044222396549,47.118102383093245
1,0,0,0,1,0,0,53.55074148136798,46.942435528324516,47.48872441463374,54.396817792206285,50.67379685610953
1,0,0,0,1,0,0,51.64062530425181,51.71216734866793,52.48707963382516,45.229231755243774,45.21997512898564
0,1,0,0,0,0,0,61.81727612144836,51.08444485424543,62.22678985404446,53.20775556205886,52.46424493732842
1,0,1,1,0,0,0,46.23443541122934,47.03884414990709,50.11649523027267,52.9310516696772,44.875506313770934
0,1,0,0,0,1,0,49.62621675634507,52.510226827798476,50.33616920884266,51.87022468442539,51.76162454419014
0,1,0,0,0,1,0,55.25601706150561,49.76197949094434,48.8231522401037,48.45289900065559,54.98844174055078
1,0,1,1,0,0,0,48.28267834280154,47.13486999703424,48.79163748582893,52.290841724877176,49.29838094064934
1,0,1,1,0,0,0,49.63078295178698,49.91666459783788,48.8947653160798,44.29453511252214,52.84790840029845
0,1,0,0,0,1,0,54.15341441202581,53.61837049341701,55.07767833428202,54.681972598974966,51.868908972727795
0,1,0,0,0,1,0,56.10068735025914,56.652743984375086,49.07091105328686,53.97374172762507,50.03002702443853
1,0,0,0,0,0,0,57.17792768473237,51.17194321307731,48.10166810613932,44.663035970227185,50.99667629024163
0,1,1,0,0,0,1,55.347575871011756,56.16563056136651,54.68130139982324,56.653675111300956,52.39810317270894
0,1,0,0,0,1,0,56.36312423763882,53.104146642188155,55.80067599395063,57.797306298813794,52.15451506734264
0,1,1,0,0,0,1,49.2296523438685,53.083677458853955,56.70530331203943,50.0099456105192,54.77924115049485
0,1,1,0,0,0,1,57.64643414959666,50.695446436050844,51.17482001790571,51.28500832681703,51.9151758403932
1,0,0,0,1,0,0,49.295463311363946,47.79380760579883,51.66734611378698,55.113382815975626,53.3791150223994
1,0,0,0,1,0,0,44.8732158933922,48.78058384216429,45.80572709928328,48.98616740971946,51.85512497073192
1,0,1,1,0,0,0,45.97598298091561,50.32307214388109,52.560924722461685,58.45182567238699,47.3431383050813
0,1,1,0,0,0,1,55.22745048221014,53.84072477091399,53.042985637102795,59.01172069306433,54.77226370728071
0,1,0,0,0,1,0,55.63675418722928,50.90309550627272,55.169151930317796,53.13165376777239,57.776095399213936
1,0,1,1,0,0,0,49.92911724300394,45.971873028368556,47.71696276862364,51.4517451688285,49.354608666540656
1,0,1,1,0,0,0,56.16440713300207,49.85713727530312,54.28827385818815,48.21280988994711,48.5112381285425
1,0,0,0,1,0,0,48.28101749608494,53.97024546189383,54.68664188255211,54.86791302751825,51.62588371121075
0,1,0,0,0,1,0,52.52999111116224,51.270759668361784,56.178767368776846,54.75877984172772,53.265524333732024
1,0,0,0,1,0,0,46.74659291326189,52.90144678677907,51.9593388389575,49.77556567747588,52.282800144162714
0,1,0,0,0,0,0,54.95602483510009,58.84288985744723,50.38529944732106,57.04146447858255,49.121346690073054
0,1,0,0,0,1,0,48.312449492452245,55.22399987662834,56.11662390915683,57.633683845884015,56.742783729146836
0,1,0,0,0,1,0,55.2443833514927,48.714983580125235,55.898549243012596,50.90246701206261,49.27896906469226
1,0,0,0,1,0,0,54.61696084770021,44.95013973944783,51.01233835825308,48.33940011577351,48.963493662463506
1,0,0,0,1,0,0,45.50831510436934,54.19820249227875,47.63068451223153,46.06272784154296,53.092787389894355
1,0,0,0,0,0,0,50.481891926227306,49.232983070754564,53.131801853652405,49.470226483336745,44.53089666761082
1,0,1,1,0,0,0,46.33996468457389,46.258031995558355,51.04501669318398,53.720018867557066,53.73038844679533
0,0,1,0,0,0,0,54.125429403660476,46.612756393501904,45.38117768845889,52.108094412052395,55.28290609400222
0,1,1,0,0,0,1,48.40903566763572,49.33270705406933,48.047951914359714,53.03575251545008,54.09494298479348
0,1,0,0,0,0,0,53.575812830607276,53.18267013004176,53.922111859444016,50.13875086639854,53.759062365489584
1,0,1,1,0,0,0,50.6556615467086,53.187225357671316,54.573330364657714,50.11006804382491,55.84728954173042
1,0,0,0,0,0,0,49.7804112858549,50.187334860084725,46.76746866425822,45.50525375815427,48.141030254669595
1,0,0,0,1,0,0,52.768168054146855,50.803440360950574,54.93461549874622,47.39396238128733,54.27861972193737
0,1,1,0,0,0,1,47.627556801436,53.83167064337906,53.39128838374328,50.301563574055294,53.63567080041915
0,1,1,0,0,0,1,55.923852852843346,57.57702284607382,57.162368740488596,59.96054859752248,53.86568973566044
1,0,1,1,0,0,0,52.11478055726922,49.39397008945432,51.561922427952375,50.3321247545737,49.64609059282023
0,1,1,0,0,0,1,53.22986240196141,49.830950394461475,53.13412389365625,53.61180292647414,51.48984949867998
0,1,0,0,0,0,0,49.71456449531183,54.60549445881619,49.32828736353759,54.05622605091655,49.0813707917968
0,1,0,0,0,0,0,52.466801103487384,53.52763388021085,56.437137527684804,55.34223829486952,53.543379970995666
0,1,0,0,0,1,0,51.28316095660088,49.45630315546858,52.0730373873512,53.00114186229716,53.56994358620236
1,0,0,0,1,0,0,51.57824718598535,46.194112162572026,50.44812771581032,52.24067272982295,46.8953001683639
0,1,1,0,0,0,1,55.5970917560422,57.20820072974517,48.970227774962225,48.33009223303295,56.76955730963476
0,1,1,0,0,0,1,56.65214677192975,47.4719361731279,50.015857891596994,48.96691859655421,54.9249416384451
1,0,0,0,1,0,0,46.49692768784187,46.362978610191846,47.03566831517659,53.50432963662925,53.83161612975988
1,0,0,0,0,0,0,51.14893156456118,49.89109726728129,47.27344834287246,49.57475437674677,50.74539533485697
0,1,0,0,0,1,0,56.76955611258189,51.626681610001086,49.74841200278836,55.933651509415775,49.55842341055141
0,1,0,0,0,1,0,52.02562788030406,57.790820444635436,49.3706525551267,49.960596192109044,54.73237531540805
0,0,1,0,0,0,0,53.69417603643512,50.659512131382556,60.697098710095034,55.17042851524309,50.332150231371436
0,1,1,0,0,0,1,48.71531843302521,53.82641885422242,50.24593497182215,57.181554153098475,48.96896548095431
1,0,0,0,1,0,0,49.940979396096154,47.63994798632435,54.16828124241043,53.797199526632525,47.91342237724462
0,1,0,0,0,0,0,50.98505992271935,56.31629926920408,52.660941939920654,55.72483350358757,51.385199449007686
1,0,0,0,1,0,0,47.34732990227432,49.97409983740714,46.8716750365031,49.34219334938715,52.2157428947537
1,0,0,0,0,0,0,46.325287003465654,44.695377367256455,51.58761454196596,50.3484193182984,45.48472006782162
0,1,0,0,0,1,0,50.17244702885956,56.20581994339034,53.40427127309748,56.38615270866177,57.72105971789834
0,1,1,0,0,0,1,49.69562813523215,57.071370507552004,50.01495726394606,51.17148662162644,52.02235667464187
0,1,1,0,0,0,1,48.29307728955835,55.54540468149189,48.13692072750761,48.776259896958074,62.307567608428194
1,0,1,1,0,0,0,52.10261713021169,50.67072320002245,49.85430878512069,53.694814271349664,46.30058820911036
1,0,1,1,0,0,0,53.26531719709469,54.762621712791564,45.71780207387073,45.96943296855348,48.77494108799984
0,1,0,0,0,1,0,53.78936890319296,48.30209866541862,57.972156939942025,48.63789475428139,55.79900719897602
1,0,0,0,0,0,0,45.81189678440966,53.0916472598312,49.83422881203835,47.818953220113066,50.18136954771474
0,1,0,0,0,0,0,60.67874198465538,53.22731780265614,54.59416380554411,55.91533612678351,52.84657983809815
1,0,0,0,1,0,0,50.17633567296284,46.649729616991586,50.927153118943906,54.77047092465786,50.015437215463216
1,0,1,1,0,0,0,52.79071150828655,47.50027491880032,48.70995240760037,52.015344639999725,50.603422471982995
0,1,0,0,0,0,0,51.632259202179064,55.1482296838293,54.849496869682184,56.737431433752214,53.298836777863905
0,1,1,0,0,0,1,52.022412684341425,51.961743652866815,49.827123282137265,54.853049843492684,52.26516842879573
0,1,0,0,0,1,0,48.364452645814126,51.25116716547582,49.96391046513271,50.919453567465915,50.787137962646526
0,1,1,0,0,0,1,53.494877893220824,49.02184878985862,51.84757692995601,55.68587687949733,49.57902756565945
0,1,0,0,0,0,0,53.77056946627246,52.56548706274339,46.41845433486128,54.98148319338779,58.5125074874719
0,1,0,0,0,1,0,49.79332757625685,48.48555435025009,52.2299816608161,54.765991174890125,51.02941276519149
0,0,1,0,0,0,0,54.919499429875174,48.59780879727939,46.87243309625533,52.69968685819698,47.85457887447867
0,1,0,0,0,1,0,48.37767890652601,55.96204112606672,55.521395824492906,51.36467354686368,55.922523149930136
0,1,1,0,0,0,1,51.09237126453506,54.801823210344125,53.35272822971315,52.361585981655196,46.971174304280346
0,1,1,0,0,0,1,53.137401629390226,52.363431129038474,55.30906077305366,53.8799014357845,52.23561521225619
0,1,0,0,0,1,0,57.510770836741955,55.79208053251603,51.85631981828049,49.10156323546188,57.16653173449685
1,0,1,1,0,0,0,46.82150456897427,49.71111771488605,50.521923676447834,49.36019660753705,51.59196988808294
0,1,1,0,0,0,1,51.29072953322545,56.847624948691156,54.960028138177634,56.319067109887655,56.643497904797194
0,1,1,0,0,0,1,53.5125328158622,54.139112912029425,53.219314506442544,53.10791219931689,51.81133618233375
