@RELATION 'my_relation: -C 30'

@ATTRIBUTE 24 {0,1}
@ATTRIBUTE 25 {0,1}
@ATTRIBUTE 26 {0,1}
@ATTRIBUTE 27 {0,1}
@ATTRIBUTE 20 {0,1}
@ATTRIBUTE 21 {0,1}
@ATTRIBUTE 22 {0,1}
@ATTRIBUTE 23 {0,1}
@ATTRIBUTE 28 {0,1}
@ATTRIBUTE 29 {0,1}
@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 3 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 5 {0,1}
@ATTRIBUTE 4 {0,1}
@ATTRIBUTE 7 {0,1}
@ATTRIBUTE 6 {0,1}
@ATTRIBUTE 9 {0,1}
@ATTRIBUTE 8 {0,1}
@ATTRIBUTE 11 {0,1}
@ATTRIBUTE 10 {0,1}
@ATTRIBUTE 13 {0,1}
@ATTRIBUTE 12 {0,1}
@ATTRIBUTE 15 {0,1}
@ATTRIBUTE 14 {0,1}
@ATTRIBUTE 17 {0,1}
@ATTRIBUTE 16 {0,1}
@ATTRIBUTE 19 {0,1}
@ATTRIBUTE 18 {0,1}
@ATTRIBUTE 30 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric

@DATA
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,113.65882725803291,127.4182697212874
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,129.01330921576482,121.85338883273776
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,112.86427163000795,165.66617369276105
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,127.25888885111675,155.10182536527685
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.34717022977955,110.37341653293659
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,88.27282595752514,138.68336880275592
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.45349254869697,109.2716302137836
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,133.99240250959437,135.58471011935373
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,131.89136214413554,122.65810106233954
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,84.83151797706614,150.494073696548
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79.29708164545582,109.80889768582142
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,75.77416391225671,152.69585983967585
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,182.74478047520677,161.71898820307706
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,158.41149249396057,142.47398356433396
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,102.33931937821622,102.19366225737905
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,107.1365168166044,68.8701385555861
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,73.90343236532684,130.18150269519083
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,120.28023398345823,122.23118962968641
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,100.62133111313548,155.09317610161992
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.33325621990684,141.45308593268118
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,173.00195287937197,132.80965521296855
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,139.30698648205717,107.96525683075323
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.6436218895863,141.78291487061662
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,132.5137134270916,135.71238743021718
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,143.2984262676092,147.3076705008952
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,129.06830338409162,150.88820275083413
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,136.73979388828351,175.75399053530563
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,101.64434492729174,142.76392030841822
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71.75374201749653,94.21814920684363
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,147.62966170921587,132.43827563309543
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94.08649969175059,111.72177840691043
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,127.93985929067024,121.20863261158576
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,167.01106817762115,111.42575164368402
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,149.92474779925118,135.87777977534535
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,185.47077616163057,186.56122605796412
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,115.11894863214013,124.96588824375675
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,150.7385557306769,107.6602659307902
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,140.75895194584865,130.98385078159805
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,171.75222227119838,122.90758089718375
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,126.7363349780776,138.07532816505264
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,138.03352212532732,107.84580212980751
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,127.77016405586077,117.5687054636333
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,175.0845591536916,38.56906403134978
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,104.40611844403506,144.5023515465299
0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,84.40006121227378,95.66708732351344
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,188.1125555062282,153.16259287711947
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,131.66673494775821,131.7240875518486
0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,120.325342682452,94.59204908484804
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,144.15433144117617,236.2233756895174
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.97498067623675,195.26138627356033
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,143.55575306866768,176.4198719983156
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,129.7878993309877,179.49142080937798
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,144.8399661604029,145.0912892565521
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,163.9530815793722,171.32304805307461
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,97.07056390751993,184.5317968123318
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,186.99168875569706,115.39989754498481
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101.68232423151251,119.7912713303344
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,145.95217967938711,109.51400956605733
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.268684158753,100.42656902807423
