@RELATION 'my_relation: -C 9'

@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 1_4 {0,1}
@ATTRIBUTE 1_5 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 2_6 {0,1}
@ATTRIBUTE 2_7 {0,1}
@ATTRIBUTE 3 {0,1}
@ATTRIBUTE 3_8 {0,1}
@ATTRIBUTE 3_9 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric

@DATA
0,0,0,0,0,0,1,0,1,21.882233827008413,22.456039117675147,20.662454485723806,21.431027548441598
0,0,0,1,0,1,0,0,0,13.140852749188355,12.856251756026175,13.975363734105127,14.167810437654083
0,0,0,0,0,0,1,1,0,18.973141331673745,19.056513378425493,18.630267407691047,19.269466884600828
0,0,0,0,0,0,1,0,1,21.751812788313043,21.076988191088812,21.046144402734253,21.28040840067773
1,0,1,0,0,0,0,0,0,5.589217483702522,6.893720241456083,5.930813107220603,4.927284716797935
0,0,0,0,0,0,1,0,1,23.81271460066238,20.872250946528638,21.129180241879354,21.224420141156727
0,0,0,1,1,0,0,0,0,12.250105404485925,11.645304414297549,10.510802701936932,11.016551896633622
0,0,0,1,0,1,0,0,0,15.245423652115983,14.120328347332721,12.939820847480501,13.622118465430498
0,0,0,0,0,0,1,0,1,21.91954238832255,22.255862855834497,24.841209256643268,23.32562396096967
0,0,0,0,0,0,1,0,1,21.139875411667717,21.64291967880891,21.83903079135093,22.443552710716695
0,0,0,0,0,0,1,0,1,21.014796899802448,22.938207192980002,21.931557647572053,20.797055249872855
1,1,0,0,0,0,0,0,0,0.16251889359350868,1.59376303488897,1.4288287349339701,3.626342626986146
0,0,0,1,0,0,0,0,0,13.466189961556726,14.691313127020807,8.861412212939484,14.397864556346443
0,0,0,0,0,0,1,0,0,15.46719064224683,21.43807797666685,18.852839988592365,20.49596015333277
1,0,1,0,0,0,0,0,0,5.881722549144517,5.924572011422375,5.59925514594245,6.600180578235858
0,0,0,1,1,0,0,0,0,10.461202319312774,9.442013797381781,9.535844102164013,9.90040456906522
0,0,0,0,0,0,1,0,1,22.183276647288775,22.174220906787646,22.81990725386601,22.297449796557142
1,0,0,0,0,0,0,0,0,4.170231966636927,4.861971618230033,7.434521307222482,3.5477493965850098
1,1,0,0,0,0,0,0,0,4.323509629876293,2.575463073106059,-0.8099241688461492,3.379871664194181
0,0,0,1,0,1,0,0,0,16.443322873607535,13.823799237935498,12.237217771989231,12.877863265058973
0,0,0,0,0,0,1,1,0,18.77508913578798,18.51902524545648,17.24591459611642,19.418974997327233
1,0,1,0,0,0,0,0,0,6.096534078816028,6.550788409367332,6.395896179197367,5.521878657656174
1,0,1,0,0,0,0,0,0,5.68152911073062,5.122570970536282,5.326229355391314,6.548058411419724
1,1,0,0,0,0,0,0,0,1.9075961892928412,1.1945833219168263,1.3966565827098358,3.087791179351391
0,0,0,0,0,0,1,0,1,22.329259246595782,22.263122217225227,23.1958737958487,20.983021895220567
0,0,0,0,0,0,1,0,1,21.762870419819684,22.218272958518824,22.38737540023391,21.517915327445717
0,0,0,0,0,0,1,0,0,19.00118905663493,18.84002576619556,23.40772872323227,21.512680487363944
0,0,0,0,0,0,1,1,0,18.27505098206046,18.73851105990924,18.747432286072463,19.764409452341926
0,0,0,0,0,0,1,0,0,20.09998753054988,24.714301886677795,21.984394938907897,22.860245632005885
0,0,0,0,0,0,1,0,0,19.510369066345753,19.13838910327843,18.55576385899852,17.63887701743799
0,0,0,1,1,0,0,0,0,9.507804228668725,10.387229830358248,10.845500905260744,10.543140568341858
0,0,0,0,0,0,1,0,1,22.93248375065277,23.371567501753365,21.714322087161822,22.294858282628944
