@RELATION 'my_relation: -C 10'

@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 1_5 {0,1}
@ATTRIBUTE 1_6 {0,1}
@ATTRIBUTE 1_7 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 2_10 {0,1}
@ATTRIBUTE 2_3 {0,1}
@ATTRIBUTE 2_3_8 {0,1}
@ATTRIBUTE 2_3_9 {0,1}
@ATTRIBUTE 4 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric
@ATTRIBUTE att10 numeric

@DATA
0,0,0,0,1,0,1,1,0,0,1.18307407039081,8.50537075262468,2.1350364536158524,3.96502800906792,9.893625119733311,4.434707829503758,8.048015876469144,3.8646449461403343,0.5312188196290629,8.070370564093956
0,0,0,0,0,0,0,0,0,1,1.293491549018214,1.7354945425510673,1.3720173275581877,1.2786316991481628,1.2912213622338073,1.2266677432317796,1.7646904187338153,1.0678749214366328,1.8163407201153525,1.55922618154161
0,0,0,0,0,0,0,0,0,1,1.475970371125471,1.4361622297974022,1.121427493614361,1.7327251765563132,1.7942167579502188,1.8967928204658215,1.6373505549967886,1.5169245155078792,1.1158428334249015,1.5135650943699215
1,1,0,0,0,0,0,0,0,0,1.5245591321113792,2.9360254245370445,2.4685795047449126,6.560065471484449,4.415411006429043,4.597123103954769,2.2178698440485785,4.840762051598216,4.181459957429851,1.198365494735485
0,0,0,0,1,0,1,1,0,0,1.5044071994365182,0.264619937396409,3.560623161307659,1.5945086801147685,5.16671674724899,4.575881064476611,0.5191157248047412,2.758005877011255,0.8758017458942687,1.498414825602985
0,0,0,0,1,0,1,1,0,0,7.590318313955272,16.401423795394457,0.27877034946422463,5.534885949708833,2.637365231594911,3.3765009025680044,2.7519101117185696,2.6909715527931795,7.1335087629870015,3.8049632951819823
0,0,0,0,1,1,0,0,0,0,1.460648371175763,2.0245641246357753,1.5270510467468874,1.823112889841271,3.114783299437939,0.03153464864743416,2.502507989385286,2.307226335985729,0.9408566949817363,2.7427843553346922
1,0,1,0,0,0,0,0,0,0,1.055303668119234,2.9862876344714455,1.9941722313013122,3.0375563177848117,1.0917763933332292,3.0091980079189637,1.042122381791863,4.174239292585179,1.257952510942126,2.39377064668951
1,1,0,0,0,0,0,0,0,0,2.7031745788477695,3.501844517278023,2.311113287055254,3.910603059156916,1.882324736433342,5.3752105283598395,3.82994444982221,5.6624443307215016,1.3963391595584342,2.3380732954383903
0,0,0,0,0,0,0,0,0,1,1.5510923584030656,1.2322782222000734,1.3859155898695323,1.2972419461451667,1.484625801603132,1.0500654792543276,1.134769448357902,1.4145131946659701,1.4503786747676952,1.7269990862184934
0,0,0,0,1,0,1,0,1,0,1.9133044642572596,3.594096173744046,1.0167138872941999,3.065763649073132,1.8682647798049399,0.9571735296413622,2.0049145373354555,1.8028591387400301,2.250893189807405,1.0161259655121535
0,0,0,0,0,0,0,0,0,1,1.7473202940056165,1.7277835317869994,1.2944278444667026,1.2690318363209543,1.463944502926576,1.6770913484153254,1.116951907780621,1.5325927985569843,1.4367354974165543,1.6100855803828393
0,0,0,0,1,0,1,0,1,0,1.6014073308738777,1.6027094314584924,0.8284868649783739,1.1787543075568951,4.386799388216252,2.1386328166773745,0.578139678941922,1.7013369102896454,2.080376726230318,2.3735520997096375
1,0,0,1,0,0,0,0,0,0,1.8204235554173098,1.102595166953424,0.9388590602248077,2.8214215615791702,0.6957018764976622,0.7007677490478249,0.737508473940787,1.6122548913745904,1.6058192837068153,1.14296256867099
1,1,0,0,0,0,0,0,0,0,5.595963382318356,2.118349656161458,9.4225149530051,2.6498421516351645,3.267727283074636,9.326858061759602,8.010496166327954,4.206007216319244,4.801722845806829,5.376113471282627
0,0,0,0,1,0,1,0,1,0,3.7956761645468604,1.0314038582079945,1.565809075420679,0.7414513023667193,3.0083268993263346,2.2398330921090426,1.8546841393344904,2.2142711713307763,1.2432292862908647,2.402266092644487
0,0,0,0,1,0,1,1,0,0,5.204238656675337,4.910150285476028,5.182317185329414,5.656898345758742,7.521821625785316,1.6007336215331167,7.3534408332102315,1.2373226284276324,8.807874854598658,2.4001374572770007
0,0,0,0,1,0,1,0,1,0,2.750867504560807,1.8144971468185687,1.9311194133143437,2.5111103794421763,1.8016251607437577,2.2961525774644977,1.3552602571434549,4.299026372600707,2.673043928785005,2.8837309995417453
0,0,0,0,1,0,1,1,0,0,9.564965827785835,0.26594160613066653,0.8943511004412957,4.632412937081524,4.6300372351043295,3.1751250590276046,2.1313412156736606,5.338772280671273,2.666342436026252,2.8737860018874084
