@RELATION 'my_relation: -C 10'

@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 1_3 {0,1}
@ATTRIBUTE 1_3_5 {0,1}
@ATTRIBUTE 1_3_6 {0,1}
@ATTRIBUTE 1_4 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 2_2.1 {0,1}
@ATTRIBUTE 2_2.1_8 {0,1}
@ATTRIBUTE 2_2.1_9 {0,1}
@ATTRIBUTE 2_7 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric

@DATA
0,0,0,0,0,1,0,0,0,1,6.610288701924788,7.564266353821544,8.917837881916782,8.096503505918996,7.638885873672901
0,0,0,0,0,1,0,0,0,0,8.540282216927588,9.043389826712845,7.704022269413685,10.715040426029208,9.10571739055322
1,1,0,0,0,0,0,0,0,0,4.353321604193178,5.929429481897317,3.420856114706945,3.9879275642536998,4.3688099401857174
1,1,1,0,0,0,0,0,0,0,5.060481142698792,5.132282747099077,1.323914153336192,3.7686388726995506,5.1430551800728495
0,0,0,0,0,1,1,0,1,0,10.475739934857268,12.454476435049129,10.221865241417506,10.64072988886094,10.656782770942288
1,1,1,0,0,0,0,0,0,0,0.9290992753408576,4.148417625498761,5.966881061533098,4.095549007705973,4.264560786824607
1,1,1,0,0,0,0,0,0,0,1.6105623452071733,2.8067908199106606,5.173248367509126,3.3216959145560065,5.394401062529728
0,0,0,0,0,1,1,1,0,0,7.983831421954101,8.539394414267129,8.599668191418868,8.842311817700864,9.208303414792343
0,0,0,0,0,1,1,0,1,0,9.822174952142333,11.631500892385011,9.767350310763664,10.48639240193265,8.966980558549405
1,0,0,0,0,0,0,0,0,0,6.442910595665824,4.675237674957561,4.044425525810378,7.686056464236742,3.3414715143836635
0,0,0,0,0,1,1,0,0,0,8.981545025250659,10.193698036970869,9.61026613021761,9.235128743845687,11.389604455385461
0,0,0,0,0,1,1,0,1,0,9.25539381955242,10.65424248566567,13.04444460201728,9.004866774546812,13.01482540278294
0,0,0,0,0,1,1,0,1,0,10.985038589910884,12.191669328570757,11.369773685451168,10.25887113669628,10.028527837911385
0,0,0,0,0,1,1,0,1,0,11.788557430652235,9.676992044948651,10.370192019147197,9.540552759671991,9.79943590149507
0,0,0,0,0,1,1,0,1,0,11.730837657555005,10.041084127941131,10.322699921239572,8.151016525687844,9.170030233047429
0,0,0,0,0,1,1,0,1,0,10.738257741084048,10.121966918675557,9.81395722052357,11.912372966079113,9.947602838321613
1,1,1,0,0,0,0,0,0,0,3.859559453738284,3.5261524514203515,2.976740660011786,3.565178360436793,5.37954190986013
1,0,0,0,1,0,0,0,0,0,1.5159071201896768,2.4105261039834733,2.141999407675556,2.46123121087003,1.192159825177648
1,1,0,0,0,0,0,0,0,0,4.212409697932475,3.9586067156626723,3.929954984864688,4.881726456456857,6.659784517327574
1,1,1,0,0,0,0,0,0,0,4.717904797213207,3.697369962300613,2.1220454969480285,4.766707222156902,4.812767437910574
0,0,0,0,0,1,1,0,1,0,10.142364490982843,12.44994747451808,9.210601578644207,11.93121705817044,12.770516499279914
1,0,0,0,1,0,0,0,0,0,0.9339750292303302,3.7532119375380244,2.2644953837137742,3.7619394135503823,2.0079296298913496
0,0,0,0,0,1,1,1,0,0,9.145313397745383,9.74545148896931,11.103994771013378,8.081816536079565,9.442564798800214
0,0,0,0,0,1,1,1,0,0,8.433378440589378,8.489458920521956,9.823222456479044,7.409988865250639,6.317435941476941
1,1,0,0,0,0,0,0,0,0,4.202746243950588,5.431309450502627,4.424387524909159,5.465841026118944,5.730400882045761
0,0,0,0,0,1,0,0,0,1,7.125331874556328,7.334592527882795,8.738972623391252,7.318711161526888,7.595831307651955
0,0,0,0,0,1,0,0,0,1,6.425962296034841,7.700743378581078,8.052066132251381,8.464693371994505,7.748119714127995
0,0,0,0,0,1,1,0,1,0,10.333103856109373,10.795447724603948,12.131827369093594,7.90726196532073,11.48196610811489
0,0,0,0,0,1,1,0,1,0,9.451364530411096,10.47916051973911,11.062025810701185,10.043417008949628,9.462907236548219
0,0,0,0,0,1,1,0,1,0,11.726172416868435,9.936309268766056,10.339262108672783,10.42385412430812,9.691088973364398
0,0,0,0,0,1,0,0,0,0,9.88622279514121,12.702929461935001,8.416539339505041,10.247814333483982,9.60272528317625
0,0,0,0,0,1,1,0,1,0,11.28168212252224,9.62810761729526,11.705614268162657,12.482180303458454,11.211413250818854
0,0,0,0,0,1,1,0,1,0,11.262763844347287,10.986372808310776,11.3643557771398,10.280175904958606,11.317176898969413
1,0,0,0,1,0,0,0,0,0,0.6717585408601334,1.4772984051524514,1.6053078019130709,2.3753881661058727,2.488677377589409
0,0,0,0,0,1,1,0,1,0,10.965145377957816,10.297848915320493,12.381519788795252,9.722504667992641,10.918846630625254
0,0,0,0,0,1,1,1,0,0,8.654337327309612,11.010724774889857,10.260257788417384,8.728574172945985,8.06642592135767
0,0,0,0,0,1,0,0,0,1,6.09895064290124,5.782326297493386,8.836307642557951,6.292312799663726,7.037394679310313
0,0,0,0,0,1,1,0,1,0,11.978777961421228,9.23258631352281,10.815251675474464,8.172620075972697,10.585421942326095
0,0,0,0,0,1,1,0,1,0,11.155525517892498,9.987740427618071,11.81282575938132,10.913160133062936,11.78418189644045
0,0,0,0,0,1,0,0,0,1,7.311070567481403,6.644119493222248,7.724643278857839,8.208333490363302,6.214855892931411
0,0,0,0,0,1,0,0,0,1,8.168949955531067,8.370025745194424,6.897795534847272,6.6466106552894715,7.191399676932277
0,0,0,0,0,1,1,1,0,0,11.299155912412598,9.481996955748892,10.455223910809625,9.337757192247578,8.078274950994535
0,0,0,0,0,1,1,1,0,0,9.51444311055472,9.48153666996461,10.08108464770047,9.498224864403879,9.025401510613667
0,0,0,0,0,1,1,0,1,0,12.106369668638477,12.558549959106948,8.012743905388044,9.98015163253257,11.0410645497778
1,0,0,0,0,0,0,0,0,0,1.8309370948005048,4.330966668177438,3.776513267353794,3.330984251396834,3.4519639166201865
0,0,0,0,0,1,1,1,0,0,10.20233422347633,9.416229549250062,7.677656457223217,9.542433990690931,8.917161349454576
0,0,0,0,0,1,0,0,0,0,8.714044063717221,8.193062330838147,11.84711291264437,6.892467913850339,9.553898265993826
