@RELATION 'my_relation: -C 23'

@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 1_16 {0,1}
@ATTRIBUTE 1_3 {0,1}
@ATTRIBUTE 1_3_10 {0,1}
@ATTRIBUTE 1_3_15 {0,1}
@ATTRIBUTE 1_3_5 {0,1}
@ATTRIBUTE 1_3_5_13 {0,1}
@ATTRIBUTE 1_3_5_14 {0,1}
@ATTRIBUTE 1_3_5_7 {0,1}
@ATTRIBUTE 1_3_5_7_11 {0,1}
@ATTRIBUTE 1_3_5_7_12 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 2_23 {0,1}
@ATTRIBUTE 2_4 {0,1}
@ATTRIBUTE 2_4_17 {0,1}
@ATTRIBUTE 2_4_6 {0,1}
@ATTRIBUTE 2_4_6_18 {0,1}
@ATTRIBUTE 2_4_6_8 {0,1}
@ATTRIBUTE 2_4_6_8_21 {0,1}
@ATTRIBUTE 2_4_6_8_22 {0,1}
@ATTRIBUTE 2_4_6_8_9 {0,1}
@ATTRIBUTE 2_4_6_8_9_19 {0,1}
@ATTRIBUTE 2_4_6_8_9_20 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric

@DATA
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,209.32965555664885,203.05532665699045,196.8768891033475,279.90509933483133,202.30133743601527,151.48329768369376,175.36196447330525,168.13699389741546,266.364169396595
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,244.7675070892422,215.4370616412413,267.29651544000336,242.2298277758363,287.4656486642285,233.49316137977192,269.45914117598403,182.3665495440758,215.17120270833223
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.17378255931197,237.40467780337156,186.90390160538345,208.44270691351826,245.06240199932856,235.26015728843203,170.1995881917868,238.74879373440353,254.40235438090127
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,202.59597347964734,190.61197168171282,219.77951214955428,269.2659524558683,186.6676275915108,173.734987959931,167.5597010023636,195.62623128668812,181.02011784256132
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,236.45710021678025,276.4689087335424,229.96471842266538,275.8249559401257,161.11292284558692,211.41386789337443,225.99284751785515,221.49822698643626,224.4684410900576
1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,203.04698818891768,200.21394749248674,224.55138856598808,240.8957924291809,276.39155562033284,190.50722621488512,248.77782499524986,299.2594746839064,230.39044515665523
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,310.57833101747036,334.9905737656335,208.2555732775338,311.2434144936785,164.3722616370179,196.5111185954551,165.69048351562913,231.1609541109614,290.54193723160824
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,287.31770025588554,282.4203460374629,256.64370796264967,230.64433872644318,268.9234219103616,310.0863928420019,325.02895138886606,167.9905032109531,189.7152940543937
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,168.15048539086177,168.8862050399016,264.7049479445222,264.6862115356981,174.66895289404178,229.17375804774812,209.68175895695447,241.39740415897356,188.34597890841644
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,275.2760916406934,142.07108623674017,244.5292432157818,181.45526178427392,257.9743850770857,182.22615055517116,189.30865491381243,227.16181341836014,150.55878233712755
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,183.90949894889835,220.0404973878059,162.3441703095899,232.61606954658674,246.96114238640135,211.24237601081677,292.11498565678903,234.31983448476743,239.3946749708228
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300.21911820617936,135.60447500762928,252.65095684169796,218.81811879285388,226.09978149625525,182.54354909149205,247.14517481266918,310.8933657469952,201.59812718499188
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.11059762088144,267.0058761319788,225.02079853677213,169.51910071323306,267.28868227265934,267.93004089089584,144.21863722898564,264.6215517280765,294.3677838991759
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,238.18941884981592,259.87640706201233,268.8476481081933,208.57847496445333,225.285989640545,241.0152919021598,281.09459752411306,258.86795944535044,289.0827943080398
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,231.92067440410634,301.85201454485065,171.04883322891175,103.47329499580904,256.72477978000114,210.68500469547484,223.91413996978753,204.91118868042622,171.7150801454181
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,248.4604223907055,312.2606886278801,242.64230779930958,313.26254200833625,226.2921053565071,263.0995186727383,189.0269657870502,266.6850919050376,279.8348604093318
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,200.1333092470536,222.8561204837111,186.59621854934517,282.7247253062102,237.17902671468926,240.2711949315488,195.95923165737838,179.365776157147,180.24477010917877
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.0828589820742,234.01760613498263,213.42228207121912,220.05354768586372,236.19955806715782,189.59572118362718,254.90789816954157,251.2761289733918,268.4167717506011
