@RELATION 'my_relation: -C 9'

@ATTRIBUTE 1 {0,1}
@ATTRIBUTE 1_4 {0,1}
@ATTRIBUTE 1_5 {0,1}
@ATTRIBUTE 2 {0,1}
@ATTRIBUTE 2_6 {0,1}
@ATTRIBUTE 2_7 {0,1}
@ATTRIBUTE 3 {0,1}
@ATTRIBUTE 3_8 {0,1}
@ATTRIBUTE 3_9 {0,1}
@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric

@DATA
0,0,0,0,0,0,1,0,1,21.1260143803887,22.23174126840119,21.14104212142283,22.5002810606147
0,0,0,0,0,0,1,0,1,21.50406584029018,20.412322225272426,23.16511376082605,22.17181906068286
0,0,0,1,1,0,0,0,0,9.969920492058154,9.810513666026285,11.436928005440576,8.65420932808679
1,1,0,0,0,0,0,0,0,1.8136760010067552,3.4299277202655563,1.2088980225859625,1.7022607798979401
0,0,0,0,0,0,1,1,0,17.75631657050524,17.024132127827393,17.208463300059222,17.777810372808332
0,0,0,0,0,0,1,0,1,23.44316657884623,20.63069786537946,22.831192215332837,22.522558283711028
1,1,0,0,0,0,0,0,0,2.4857720469767632,1.9988284318855754,2.555231756564522,1.386536268665153
0,0,0,0,0,0,1,1,0,19.688693603356484,18.672946663060273,16.321099406656547,18.833675884102
0,0,0,1,1,0,0,0,0,11.725901340976188,10.953600917979129,9.882595388648415,10.097910842067698
0,0,0,1,0,1,0,0,0,12.67781808403532,13.531163661057503,14.568500894050455,12.06003823588474
0,0,0,1,0,0,0,0,0,11.915492745137675,13.67460751170232,11.127522976024993,13.421653428828181
0,0,0,0,0,0,1,0,0,21.775800757723395,20.083174031890053,19.22248487398447,20.28514613406769
0,0,0,0,0,0,1,0,1,21.585538099875297,21.2177301734335,21.390183601172673,22.45771475208621
1,0,0,0,0,0,0,0,0,6.213922079137516,3.5687238415364213,10.830254106397394,-2.3454390392010938
0,0,0,1,0,1,0,0,0,13.54223874246758,12.970167568531357,12.149912390448186,14.336426299160093
0,0,0,1,0,1,0,0,0,13.326592543196828,13.958394422272683,14.902804825361011,15.40296083586263
1,0,1,0,0,0,0,0,0,5.471079138507306,5.993326829168248,5.908474856034251,3.294891797249024
0,0,0,1,0,1,0,0,0,13.631309892568586,13.571819426584812,12.413944224612338,14.422375736651897
0,0,0,1,0,1,0,0,0,12.510991046968842,13.773102600906851,14.641592632442093,14.682009178675253
1,0,0,0,0,0,0,0,0,2.3253009738279053,3.7377702250837266,3.1528792638726255,5.184219996633802
